FileName,ElevationM,Date,Lat,Lon,DamLength,Notes,Area,Mapper,State,MapperID
Area1Dam1,1725.00,4/1/2013,35.9428930,-118.1683510,27.3,,1,BO,CA,A
Area1Dam2,1723.00,7/3/2016,35.9396580,-118162271.0000000,36.1,,1,BO,CA,A
Area1Dam3,1723.00,7/4/2016,35.9389150,-118.1626670,26.1,,1,BO,CA,A
Area1Dam4,1722.00,7/5/2016,35.9347290,-118.1631260,38.1,,1,BO,CA,A
Area1Dam5,1721.00,7/6/2016,35.9346130,-118.1635910,15.0,,1,BO,CA,A
Area1Dam6,1722.00,7/7/2016,35.9340230,-118.1633020,9.5,,1,BO,CA,A
Area1Dam7,1722.00,7/8/2016,35.9339240,-118.1630230,5.5,,1,BO,CA,A
Area1Dam8,1721.00,7/9/2016,35.9338480,-118.1644900,16.6,,1,BO,CA,A
Area1Dam9,1722.00,7/10/2016,35.9333060,-118.1634300,47.9,,1,BO,CA,A
Area1Dam10,1720.00,7/11/2016,35.9320100,-118.1659770,8.7,,1,BO,CA,A
Area1Dam11,1720.00,7/12/2016,35.9320120,-118.1659750,8.1,,1,BO,CA,A
Area1Dam12,1720.00,7/13/2016,35.9317740,-118.1661260,5.6,,1,BO,CA,A
Area1Dam13,1720.00,7/14/2016,35.9316160,-118.1659310,8.2,,1,BO,CA,A
Area1Dam14,1719.00,7/15/2016,35.9267180,-118.1672430,11.3,,1,BO,CA,A
Area1Dam15,1716.00,7/16/2016,35.9228280,-118.1678810,10.3,,1,BO,CA,A
Area1Dam16,1713.00,7/1/2016,35.9197710,-118.1672960,7.7,,1,BO,CA,A
Area1Dam17,1713.00,7/1/2016,35.9181390,-118.1652660,10.4,,1,BO,CA,A
Area1Dam18,1713.00,7/1/2016,35.9178170,-118.1646920,6.3,,1,BO,CA,A
Area1Dam19,1711.00,7/1/2016,35.9162540,-118.1656880,16.3,,1,BO,CA,A
Area1Dam20,1711.00,7/1/2016,35.9146490,-118.1668710,15.4,,1,BO,CA,A
Area1Dam21,1710.00,7/1/2016,35.9139610,-118.1669620,10.4,,1,BO,CA,A
Area1Dam22,1710.00,7/1/2016,35.9118390,-118.1697560,21.0,,1,BO,CA,A
Area1Dam23,1710.00,7/1/2016,35.9108380,-118.1693440,39.0,"Dam 23 might connect with Dam 24, hard to tell",1,BO,CA,A
Area1Dam24,1710.00,7/1/2016,35.9104980,-118.1691540,19.5,,1,BO,CA,A
Area1Dam25,1710.00,7/1/2016,35.9099430,-118.1699400,18.5,,1,BO,CA,A
Area1Dam26,1709.00,7/1/2016,35.9107720,-118.1710950,25.3,,1,BO,CA,A
Area1Dam27,1709.00,7/1/2016,35.9104750,-118.1710060,136.0,,1,BO,CA,A
Area1Dam28,1709.00,7/1/2016,35.9009789,-118.1725040,18.8,,1,BO,CA,A
Area1Dam29,1708.00,7/1/2016,35.9099530,-118.1737020,16.0,,1,BO,CA,A
Area1Dam30,1704.00,7/1/2016,35.9063540,-118.1810030,18.6,,1,BO,CA,A
Area1Dam31,1702.00,7/1/2016,35.9056320,-118.1853220,24.8,,1,BO,CA,A
Area1Dam32,1701.00,7/1/2016,35.9050700,-118.1851040,6.4,"Seems pretty small for a dam, not sure",1,BO,CA,A
Area1Dam33,1699.00,7/1/2016,35.9022970,-118.1880350,15.8,Not sure if dam. Seems to not cross from bank to bank. Mabye water was diverted around it,1,BO,CA,A
Area1Dam34,1699.00,7/1/2016,35.9005530,-118.1897600,5.9,Similar to dam 33. Doesn't cross water completely,1,BO,CA,A
Area1Dam35,1697.00,7/1/2016,35.8964530,-118.1885070,37.5,Nice looking dam,1,BO,CA,A
Area1Dam36,1696.00,7/1/2016,35.8941590,-118.1869540,19.9,"Not sure about this one, looks lik it could be land jutting out",1,BO,CA,A
Area1Dam37,1690.00,7/1/2016,35.8831800,-118.1936690,9.9,,1,BO,CA,A
Area1Dam38,1689.00,4/1/2013,35.8819440,-118.1936720,5.9,,1,BO,CA,A
Area1Dam39,1726.00,7/1/2016,35.9459470,-118.1658710,6.9,,1,BO,CA,A
Area1Dam40,1726.00,4/1/2013,35.9463370,-118.1664530,23.0,,1,BO,CA,A
Area1Dam41,1727.00,4/1/2013,35.9461730,-118.1665390,6.4,,1,BO,CA,A
Area1Dam42,1727.00,4/1/2013,35.9483700,-118.1675350,8.9,,1,BO,CA,A
